,time_since_ri,wind_speed
642,0 days 00:00:00,6.6239519119262695
643,0 days 06:00:00,8.926478385925293
644,0 days 12:00:00,
645,1 days 00:00:00,10.432411193847656
646,1 days 06:00:00,28.367733001708984
647,1 days 12:00:00,38.28047180175781
648,-1 days +06:00:00,
649,-1 days +18:00:00,6.6239519119262695
650,0 days 00:00:00,8.926478385925293
651,0 days 06:00:00,
652,0 days 18:00:00,10.432411193847656
653,1 days 00:00:00,28.367733001708984
654,1 days 06:00:00,38.28047180175781
655,-1 days +12:00:00,9.344511032104492
656,0 days 00:00:00,18.704185485839844
657,0 days 12:00:00,
658,1 days 00:00:00,12.248549461364746
659,1 days 12:00:00,22.689594268798828
660,-1 days +12:00:00,
661,0 days 00:00:00,12.248549461364746
662,0 days 12:00:00,22.689594268798828
663,1 days 00:00:00,24.034910202026367
664,1 days 06:00:00,13.04730224609375
665,1 days 12:00:00,
666,-1 days +06:00:00,8.405244827270508
667,-1 days +12:00:00,
668,0 days 00:00:00,8.316770553588867
669,0 days 06:00:00,19.163122177124023
670,0 days 12:00:00,20.87256622314453
671,1 days 00:00:00,7.031093120574951
672,1 days 06:00:00,20.694894790649414
673,1 days 12:00:00,16.856523513793945
674,-1 days +06:00:00,11.671168327331543
675,-1 days +18:00:00,
676,0 days 00:00:00,13.029621124267578
677,0 days 06:00:00,
678,0 days 18:00:00,26.52142333984375
679,1 days 00:00:00,17.07204246520996
680,1 days 06:00:00,61.9417610168457
681,1 days 18:00:00,
682,0 days 00:00:00,11.920382499694824
683,0 days 12:00:00,12.69894790649414
684,1 days 00:00:00,18.72186279296875
685,1 days 06:00:00,15.979455947875977
686,1 days 12:00:00,
687,2 days 00:00:00,27.786609649658203
688,-1 days +12:00:00,11.920382499694824
689,0 days 00:00:00,12.69894790649414
690,0 days 12:00:00,18.72186279296875
691,0 days 18:00:00,15.979455947875977
692,1 days 00:00:00,
693,1 days 12:00:00,27.786609649658203
694,1 days 18:00:00,18.833080291748047
695,0 days 00:00:00,12.71564769744873
696,0 days 12:00:00,12.409040451049805
697,0 days 18:00:00,
698,1 days 12:00:00,25.014263153076172
699,-1 days +06:00:00,
700,-1 days +12:00:00,14.310149192810059
701,0 days 00:00:00,11.104769706726074
702,0 days 06:00:00,
703,0 days 12:00:00,9.406278610229492
704,1 days 00:00:00,
705,1 days 06:00:00,9.67158317565918
706,1 days 12:00:00,
707,-1 days +06:00:00,8.581576347351074
708,-1 days +18:00:00,
709,0 days 00:00:00,11.62016773223877
710,0 days 18:00:00,
711,1 days 00:00:00,22.353118896484375
712,-1 days +18:00:00,17.94059944152832
713,0 days 00:00:00,9.225516319274902
714,0 days 06:00:00,
715,0 days 18:00:00,
716,1 days 00:00:00,10.644781112670898
717,1 days 06:00:00,
718,-1 days +12:00:00,
719,0 days 00:00:00,25.301349639892578
720,0 days 06:00:00,7.772126197814941
721,0 days 12:00:00,16.618335723876953
722,1 days 00:00:00,
723,1 days 06:00:00,14.27358627319336
724,1 days 12:00:00,
725,-1 days +06:00:00,
726,-1 days +18:00:00,25.301349639892578
727,0 days 00:00:00,7.772126197814941
728,0 days 06:00:00,16.618335723876953
729,0 days 18:00:00,
730,1 days 00:00:00,14.27358627319336
731,1 days 06:00:00,
732,-1 days +12:00:00,25.301349639892578
733,-1 days +18:00:00,7.772126197814941
734,0 days 00:00:00,16.618335723876953
735,0 days 12:00:00,
736,0 days 18:00:00,14.27358627319336
737,1 days 00:00:00,
738,1 days 12:00:00,
739,-1 days +00:00:00,6.785209655761719
740,-1 days +12:00:00,17.492216110229492
741,0 days 00:00:00,10.747130393981934
742,0 days 06:00:00,9.554718017578125
743,0 days 12:00:00,20.76874542236328
744,1 days 00:00:00,22.53592872619629
745,1 days 06:00:00,25.737468719482422
746,1 days 12:00:00,26.04341697692871
747,-2 days +18:00:00,6.785209655761719
748,-1 days +06:00:00,17.492216110229492
749,-1 days +18:00:00,10.747130393981934
750,0 days 00:00:00,9.554718017578125
751,0 days 06:00:00,20.76874542236328
752,0 days 18:00:00,22.53592872619629
753,1 days 00:00:00,25.737468719482422
754,1 days 06:00:00,26.04341697692871
